Approach,Inoculation density,Replicate,Ampicillin_Concentration_micrograms_per_ml,density_0h,density_24h,difference_t24-t0
Plate count CFU,10^7,3,8,3920000,650,-3919350
Plate count CFU,10^7,1,4,4720000,166400000,161680000
Plate count CFU,10^7,2,4,5440000,192100000,186660000
Plate count CFU,10^7,3,4,2690000,173600000,170910000
Plate count CFU,10^7,1,0,5440000,31120000000,31114560000
Plate count CFU,10^7,2,0,8080000,34960000000,34951920000
Plate count CFU,10^7,3,0,5120000,37200000000,37194880000
Plate count CFU,10^6,1,16,128000,0,-128000
Plate count CFU,10^6,2,16,36000,0,-36000
Plate count CFU,10^6,3,16,2304000,0,-2304000
Plate count CFU,10^6,1,8,154000,1140,-152860
Plate count CFU,10^6,2,8,103000,340,-102660
Plate count CFU,10^6,3,8,440000,350,-439650
Plate count CFU,10^6,1,4,98000,19370000,19272000
Plate count CFU,10^6,2,4,2360000,18240000,15880000
Plate count CFU,10^6,3,4,1768000,17230000,15462000
Plate count CFU,10^6,1,0,31000,22040000000,22039969000
Plate count CFU,10^6,2,0,1336000,38240000000,38238664000
Plate count CFU,10^6,3,0,608000,39680000000,39679392000
Flowcytometry,10^9,1,16,764000000,2407000000,1643000000
Flowcytometry,10^9,2,16,643000000,802000000,159000000
Flowcytometry,10^9,1,8,739000000,4446000000,3707000000
Flowcytometry,10^9,2,8,822000000,2809000000,1987000000
Flowcytometry,10^9,3,8,718000000,1559000000,841000000
Flowcytometry,10^9,1,4,989000000,4642000000,3653000000
Flowcytometry,10^9,2,4,856000000,2217000000,1361000000
Flowcytometry,10^9,3,4,1157000000,4020000000,2863000000
Flowcytometry,10^9,1,0,635000000,5379000000,4744000000
Flowcytometry,10^9,2,0,957000000,8485000000,7528000000
Flowcytometry,10^9,3,0,683000000,4196000000,3513000000
Flowcytometry,10^8,1,16,112000000,1570,-111998430
Flowcytometry,10^8,2,16,94000000,160,-93999840
Flowcytometry,10^8,3,16,171700000,1040,-171698960
Flowcytometry,10^8,1,8,79300000,1739000,-77561000
Flowcytometry,10^8,2,8,97200000,2080000,-95120000
Flowcytometry,10^8,3,8,170000000,9918000,-160082000
Flowcytometry,10^8,1,4,84900000,2595000000,2510100000
Flowcytometry,10^8,2,4,137500000,1601000000,1463500000
Flowcytometry,10^8,3,4,180100000,1696000000,1515900000
Flowcytometry,10^8,1,0,90300000,4598000000,4507700000
Flowcytometry,10^8,2,0,91300000,5258000000,5166700000
Flowcytometry,10^8,3,0,212600000,5909000000,5696400000
Flowcytometry,10^7,1,16,9380000,115,-9379885
Flowcytometry,10^7,2,16,8850000,95,-8849905
Flowcytometry,10^7,3,16,18440000,187,-18439813
Flowcytometry,10^7,1,7,6420000,27,-6419973
Flowcytometry,10^7,2,7,8680000,45,-8679955
Flowcytometry,10^7,3,7,15760000,173,-15759827
Flowcytometry,10^7,1,4,8010000,47620000,39610000
Flowcytometry,10^7,2,4,9920000,36130000,26210000
Flowcytometry,10^7,3,4,17690000,23250000,5560000
Flowcytometry,10^7,1,0,7610000,4003000000,3995390000
Flowcytometry,10^7,2,0,20630000,4045000000,4024370000
Flowcytometry,10^7,3,0,18390000,4112000000,4093610000
Flowcytometry,10^6,1,16,703000,53,-702947
Flowcytometry,10^6,2,16,696000,6,-695994
Flowcytometry,10^6,3,16,4683000,89,-4682911
Flowcytometry,10^6,1,6,594000,254,-593746
Flowcytometry,10^6,2,6,777000,198,-776802
Flowcytometry,10^6,3,6,4916000,247,-4915753
Flowcytometry,10^6,1,4,714000,1450000,736000
Flowcytometry,10^6,2,4,5203000,39430000,34227000
Flowcytometry,10^6,3,4,4238000,42210000,37972000
Flowcytometry,10^6,1,0,660000,8319000000,8318340000
Flowcytometry,10^6,2,0,4419000,5446000000,5441581000
Flowcytometry,10^6,3,0,7356000,3604000000,3596644000
